tm,MVm,PVm
1.690000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.700000000000000000e+02,1.000000000000000000e+00,2.577500000000000346e-01
1.710000000000000000e+02,1.000000000000000000e+00,2.577500000000000346e-01
1.720000000000000000e+02,1.000000000000000000e+00,2.602500000000000924e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.617499999999999827e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.682500000000000995e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.700000000000001288e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.722499999999999920e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.730000000000000204e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.755000000000000782e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.755000000000000782e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.755000000000000782e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.802499999999999991e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.657500000000000417e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.820000000000000284e-01
